entity,date,open,high,low,close,volume,return,log_return,rsi,macd,atr,momentum,drawdown,autocorrelation,rolling_entropy,volatility_clustering,rolling_volatility_5,sharpe_5,bollinger_z_5,rolling_volatility_14,sharpe_14,bollinger_z_14,rolling_volatility_30,sharpe_30,bollinger_z_30,market_return,beta,sector,inflation_pressure,interest_rate_sensitivity,tariff_exposure,commodity_dependence,geopolitical_instability,conflict_intensity,regulatory_uncertainty,macroeconomic_surprise,narrative_momentum,technology_hype_cycle,public_sentiment_shift,news_sentiment,news_sentiment_variance,article_volume,macro_score,narrative_novelty,narrative_persistence,embedding_centroid_shift,topic_cluster,degree_centrality,betweenness_centrality,clustering_coefficient,pagerank,graph_density,neighborhood_similarity,local_market_influence,sector_correlation_average,etf_exposure_score,contagion_metric,gnn_1,gnn_2,gnn_3,gnn_4,gnn_5,gnn_6,gnn_7,gnn_8,gnn_9,gnn_10,gnn_11,gnn_12,gnn_13,gnn_14,gnn_15,gnn_16,gnn_17,gnn_18,gnn_19,gnn_20,gnn_21,gnn_22,gnn_23,gnn_24,gnn_25,gnn_26,gnn_27,gnn_28,gnn_29,gnn_30,gnn_31,gnn_32
A,2026-01-02,136.24000549316406,137.9499969482422,135.27000427246094,137.9499969482422,1650600.0,,,,0.0,2.67999267578125,,0.0,,,,,,,,,,,,,,0.41370009596681845,Health Care,0.4,0.4,,0.65,,,,0.0,,,,,,,,,,,11,0.00101010101010101,0.0,0.0,0.0005585756005029064,0.0030231681089400563,1.0,1.0,1.0,,0.00101010101010101,-1.2545696307881045,-2.2823644542280057,-0.24242480416821377,0.9886945043435056,-0.4196462369659374,-0.6453365274413261,-0.08312785089059764,0.6294112288081656,0.08785674651095668,-1.2346946065011652,-1.9799135425241718,-1.9507952947990832,-0.16973483252040883,0.40643936214454834,-0.24779888720709067,0.7349805992469324,-0.6038271217921155,-0.23152524443607994,0.21461353202181901,-0.6894635014560038,0.0811114683913254,0.059711353824516984,0.5892060003571359,0.4767491156308028,-0.4108000076772413,-0.4743603989628518,-0.0067381027204218066,-0.2284360265035052,-0.04504374364879612,0.18059466870069776,-0.1911735283893831,-0.5572173778775669
AACB,2026-01-02,10.300000190734863,10.300000190734863,10.289999961853027,10.289999961853027,1400.0,,,,0.0,0.010000228881835938,,0.0,,,,,,,,,,,,,,-0.0028032687879058463,Equity Universe,0.4,0.4,,0.65,,,,0.0,,,,,,,,,,,9,0.00101010101010101,0.0,0.0,0.0005516896343860245,0.0030231681089400563,1.0,1.0,1.0,,0.00101010101010101,-1.2524244232794444,-2.489937870541667,-0.25140217238661916,1.1157259474921217,-0.5100709239167933,-0.628128835030557,-0.09346366318079445,0.6448519848911327,-0.09246751185485831,-1.4400074740997377,-2.0940122311269223,-1.9967062064516665,-0.8357514679004172,0.14127118404991196,-0.3749691552887661,0.16331534548234003,-0.34556427542057633,-0.2758380988591112,-0.3736686778821217,-0.7550158109410424,-0.06218813200383204,0.33417598715868924,0.21971367144682397,0.051734886312947995,-0.3943535526603053,-0.34636921514584984,0.03756842647008474,-0.19506375904492898,-0.03217477938759394,0.13368710577002552,0.09681407377644535,-0.33243246162400325
AACBU,2026-01-02,10.600000381469727,10.600000381469727,10.600000381469727,10.600000381469727,0.0,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,-0.03159237979293522,Equity Universe,0.4,0.4,,0.65,,,,0.0,,,,,,,,,,,9,0.00101010101010101,0.0,0.0,0.0005516896343860245,0.0030231681089400563,1.0,1.0,1.0,,0.00101010101010101,-1.252430629534825,-2.489861507035912,-0.25138063670491656,1.1156249650704302,-0.5100937462562096,-0.6280674372104939,-0.09336777342600368,0.6448701696481036,-0.09231711473036931,-1.4398223801511139,-2.094079331517401,-1.9965733392555196,-0.8354051546286905,0.14131360029757328,-0.3749544283444495,0.16384280997790676,-0.3458230876416888,-0.27577100347101835,-0.37301007153012794,-0.7550376340184071,-0.06195512066262372,0.3339329918675851,0.2202120661332238,0.05211759309854759,-0.394538867520767,-0.34647032914147413,0.03748602486572522,-0.1951313158758616,-0.032330371398613826,0.13391777310359526,0.09664885910063165,-0.33279140139893554
AACG,2026-01-02,0.7900000214576721,0.8100000023841858,0.7900000214576721,0.800000011920929,21600.0,,,,0.0,0.019999980926513672,,0.0,,,,,,,,,,,,,,-0.1708896851546446,Equity Universe,0.4,0.4,,0.65,,,,0.0,,,,,,,,,,,9,0.00101010101010101,0.0,0.0,0.0005516896343860245,0.0030231681089400563,1.0,1.0,1.0,,0.00101010101010101,-1.2523358156973432,-2.4940637754283914,-0.2503411722033985,1.119001789740006,-0.5078383882313665,-0.6287939123474775,-0.09656160320210097,0.6470372217262432,-0.09510103935757794,-1.4488256734563238,-2.0925218182278136,-2.005495628879073,-0.8491032906768078,0.14117517042984745,-0.3749362860940726,0.14389219302816939,-0.3361535932754304,-0.27566480343442307,-0.39915997354830435,-0.7564634893635127,-0.06645103786524331,0.3430161931937845,0.20240535508575164,0.03768807334548142,-0.39217232952229797,-0.34502827726810065,0.04520933769967986,-0.19513120912566964,-0.04015686996466813,0.13275420899206192,0.10904849599283611,-0.32526171757922795
AAL,2026-01-02,15.369999885559082,15.75,15.149999618530273,15.479999542236328,43940300.0,,,,0.0,0.6000003814697266,,0.0,,,,,,,,,,,,,,0.9004530766574946,Equity Universe,0.4,0.4,,0.65,,,,0.0,,,,,,,,,,,9,0.00101010101010101,0.0,0.0,0.0005516896343860245,0.0030231681089400563,1.0,1.0,1.0,,0.00101010101010101,-1.2517535510831728,-2.45959096230629,-0.26073301770182455,1.1164530698653263,-0.5455264785427762,-0.6103121711628283,-0.0831286141656086,0.589953740966062,-0.12827102457738968,-1.3647862561547384,-2.003137322526556,-1.8987621992932007,-0.7545488094601314,0.06727018951168465,-0.38144525603358237,0.2513617553556993,-0.5161042144839543,-0.1415912838358487,-0.22552604492792255,-0.7749011145199776,-0.1069867159178646,0.3351982530339129,0.18731586602901523,-0.03896326710117725,-0.3328565187887794,0.003520656514137438,0.28609525015490006,-0.22816978205844218,-0.19408209735658066,-0.07239836865230655,0.14142974251053372,-0.10659012693934639
AAME,2026-01-02,2.9700000286102295,2.9800000190734863,2.700000047683716,2.880000114440918,37800.0,,,,0.0,0.2799999713897705,,0.0,,,,,,,,,,,,,,-0.02977610388804595,Equity Universe,0.4,0.4,,0.65,,,,0.0,,,,,,,,,,,9,0.00101010101010101,0.0,0.0,0.0005516896343860245,0.0030231681089400563,1.0,1.0,1.0,,0.00101010101010101,-1.2523476506693978,-2.4920876708589255,-0.25107208211958504,1.1178735382304001,-0.5092422512485986,-0.6284931916513068,-0.09509291655730852,0.6456204917173604,-0.09436219985095869,-1.4446447684097032,-2.0930663450595035,-2.0012896595483456,-0.843159404798723,0.14106104052607998,-0.3751112097314094,0.1525611008517451,-0.3405823060526193,-0.27560589429661553,-0.3881045960051665,-0.7558334916232555,-0.0651551990709784,0.33927015995372845,0.20944802213774444,0.04332998908135616,-0.3928367272152957,-0.345169282803286,0.04187759181767736,-0.1947142103410527,-0.035687628272764886,0.13250349236342845,0.10345937459324323,-0.32773395716862214
AAOI,2026-01-02,36.345001220703125,40.099998474121094,35.7599983215332,39.599998474121094,4857600.0,,,,0.0,4.340000152587891,,0.0,,,,,,,,,,,,,,2.344775086696558,Equity Universe,0.4,0.4,,0.65,,,,0.0,,,,,,,,,,,9,0.00101010101010101,0.0,0.0,0.0005516896343860245,0.0030231681089400563,1.0,1.0,1.0,,0.00101010101010101,-1.25247607888497,-2.4574176829181633,-0.26364629791856475,1.0997656862922862,-0.5351472101037393,-0.6219367926580065,-0.07067013365888966,0.617422426897991,-0.08619799650456862,-1.3701665398213658,-2.092308633474722,-1.923957807039656,-0.7398530745291598,0.13154877990520555,-0.37850668783432045,0.29999980827044054,-0.42882636379973227,-0.2609270908440263,-0.1960649641131408,-0.7477142416618817,-0.049014621401103776,0.27950591343942943,0.31877691596346985,0.12427232710832858,-0.3969508904192456,-0.31112917183276534,0.014294492017665444,-0.19161163882854962,0.018955932836257513,0.1070202112594598,0.018684226633483507,-0.34375444634019564
AAON,2026-01-02,77.80999755859375,82.37000274658203,77.38999938964844,79.19000244140625,1350400.0,,,,0.0,4.980003356933594,,0.0,,,,,,,,,,,,,,0.9978099386897535,Equity Universe,0.4,0.4,,0.65,,,,0.0,,,,,,,,,,,9,0.00101010101010101,0.0,0.0,0.0005516896343860245,0.0030231681089400563,1.0,1.0,1.0,,0.00101010101010101,-1.2531302471744952,-2.440006819425972,-0.2661219836665405,1.0833777321183315,-0.5435273847258799,-0.6165269491170433,-0.053770754848391125,0.6136549914795929,-0.06592215138097345,-1.3323511901625267,-2.108709286448339,-1.8917855702089879,-0.6771554022840386,0.14005544005770107,-0.37787764562590126,0.39550853239206957,-0.4665060632822826,-0.26625374187200473,-0.07764848877585559,-0.7432330410878305,-0.01747089096911863,0.23367697035655335,0.4110003356036322,0.20214863242372755,-0.42116944718852867,-0.3482475957507081,-0.035749619245794666,-0.1917397001023353,0.050686386938933875,0.14011036093524606,-0.0374373302862168,-0.407854435163964
AAPG,2026-01-02,26.260000228881836,26.889999389648438,26.260000228881836,26.3700008392334,2600.0,,,,0.0,0.6299991607666016,,0.0,,,,,,,,,,,,,,0.727706628678967,Equity Universe,0.4,0.4,,0.65,,,,0.0,,,,,,,,,,,9,0.00101010101010101,0.0,0.0,0.0005516896343860245,0.0030231681089400563,1.0,1.0,1.0,,0.00101010101010101,-1.2525373662011685,-2.4802250055851927,-0.25464892953540824,1.1092292124623189,-0.5161722672079336,-0.6269166831361291,-0.08644322072858987,0.6385370013072987,-0.08803988898194641,-1.419483740149217,-2.096932954087201,-1.9758457779175616,-0.8059315862846866,0.14091335879663133,-0.3754910845536955,0.20660410941509777,-0.36697731486056145,-0.2764231569266858,-0.31736107529177254,-0.7514298392971764,-0.05473982255302092,0.31491689402391326,0.25664704738941224,0.08170594765088644,-0.3977623483730084,-0.34806114466174953,0.019827329274793894,-0.19361424973140093,-0.009975194931128802,0.13307233490859455,0.06817623662799385,-0.34586167470968
AAPL,2026-01-02,272.260009765625,277.8399963378906,269.0,271.010009765625,37838100.0,,,,0.0,8.839996337890625,,0.0,,,,,,,,,,,,,,0.33531851888274794,Information Technology,0.4,0.4,,0.65,,,,0.0,,,,,,,,,,,13,0.00505050505050505,0.0001724491897646599,0.0,0.0006644307325583893,0.0030231681089400563,0.6385714285714286,3.192857142857143,0.6385714285714286,0.14285714285714285,0.016125541125541126,-1.222175121687479,-1.5672129902200285,-0.5635871011343708,1.7030466367651187,-1.2805668040704212,0.2837825932340373,0.09683241813500099,0.12249124563495475,0.24463625005171083,0.3229173656044172,-2.198797235729021,-0.7780142653239303,0.8102879105581174,-0.002846177044042436,-0.2558057609203794,2.736554751661101,-3.079645655090866,0.4890792985216049,2.6060933528344234,-1.8523670984051235,-0.4011055032558957,0.10265701653581497,0.09048112607990998,-1.414643088257662,-0.3453315634978224,2.52048906171499,3.182150707895262,-0.1999042157061218,-1.185046636785004,-2.461713848125393,1.2588892080272223,-0.0866583375224315
AARD,2026-01-02,13.300000190734863,13.579999923706055,12.5,13.1899995803833,80200.0,,,,0.0,1.0799999237060547,,0.0,,,,,,,,,,,,,,1.8448931769447614,Equity Universe,0.4,0.4,,0.65,,,,0.0,,,,,,,,,,,9,0.00101010101010101,0.0,0.0,0.0005516896343860245,0.0030231681089400563,1.0,1.0,1.0,,0.00101010101010101,-1.2522806611639905,-2.483569049681376,-0.25544035447672425,1.1135614518123023,-0.5151645106525122,-0.6293629603963381,-0.0904600739532885,0.6379318003206281,-0.09426328153361087,-1.427487438835934,-2.094115076187232,-1.9818002403066577,-0.8207167905448335,0.13919354304565545,-0.37609880739885626,0.1841702032641051,-0.35607835565376994,-0.2789350427648482,-0.3455578790040036,-0.7507388940773247,-0.06438052347576598,0.3253009506942944,0.2353592881570099,0.06523648375005918,-0.39024758878099775,-0.343768802951575,0.023907953200330546,-0.19091929512357755,-0.004586873638837468,0.12378908250980042,0.07582172867516934,-0.33094134564841593
